instance;β;Layout;transform;energy;best_dwave;probabilities;discarded_probability;statistic;max_states;bond_dim;de;max_sweeps;cl_states;iters_svd;iters_var;dtemp_mult;var_tol;time;cRAM;schmidts;error
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-450.0;-460.0;-15.006458398429597;-6.899759182426775;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.498819857;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0042036138135178435, 0.0020442255118567256, 0.011060052983971242, 0.0011962858642540692], 3 => Any[1.0, 1.0, 2.307858483661027e-5, 2.166616580000904e-6, 0.0009632316960784061, 0.0002119405752307083]);
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-450.0;-460.0;-15.911201729806344;-6.383665489514339;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.362456488;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00449330222214562, 0.0004422686593864572, 0.0024970294414996806, 0.0007430045609631351], 3 => Any[1.0, 1.0, 0.00041433060872557827, 7.783381772802131e-5, 0.004033316725262043, 8.938542897592096e-5]);
003_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-450.0;-460.0;-15.061493503887142;-7.2149036733130965;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.654156026;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 9.83608549426519e-5, 0.0022453932960428513, 0.0027959954762151107, 0.0028428705060332556], 3 => Any[1.0, 1.0, 9.086737420700621e-5, 0.00108207359843416, 0.0010373740701106274, 0.038679598126830785]);
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 3, 4, 1), true);-477.0;-495.0;-14.796590175258812;-7.194382924874269;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.849927741;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.00021762987425365184, 6.017853134785114e-5, 0.0008874083468826745, 0.00029388969403475635], 3 => Any[1.0, 1.0, 4.823513159303642e-5, 2.534072907111576e-5, 0.00042926259674171206, 0.000134679858130897]);
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 2, 1, 4), true);-477.0;-495.0;-14.798898220997309;-6.985134916104663;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.888038423;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.000278340624629528, 0.0008986347614761132, 9.191958508958011e-5, 0.00027123929669617376], 3 => Any[1.0, 1.0, 6.711031352031548e-5, 0.0003425040805604418, 4.4454258692799195e-5, 5.695037385504574e-5]);
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((3, 4, 1, 2), false);-477.0;-495.0;-14.792576623005836;-6.962730014064546;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;8.013503921;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 1.6191726437909016e-6, 8.576007303254815e-5, 9.248616349978176e-6, 4.855190231171607e-5], 3 => Any[1.0, 1.0, 0.0013613014449684378, 0.003176447800224079, 0.0004127872841482963, 0.0010941913895354443]);
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((1, 2, 3, 4), false);-477.0;-495.0;-15.15324506753122;-7.694718290082376;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.537270144;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 4.398807892630735e-5, 0.0020379555739708987, 5.627304148905677e-5, 0.0009205324941883329], 3 => Any[1.0, 1.0, 6.927974481568361e-5, 0.0074158406924119385, 0.0005647118473387801, 0.01193934946504203]);
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 3, 2, 1), false);-477.0;-495.0;-14.790520873059801;-7.180164703191842;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;8.063472393;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 4.9127650629614054e-5, 8.91610333739536e-6, 6.903683496534782e-5, 2.2085484084851626e-6], 3 => Any[1.0, 1.0, 0.0010961697787975231, 0.000412321162981114, 0.003167578672240112, 0.0014526520523596093]);
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((2, 1, 4, 3), false);-477.0;-495.0;-14.864469401177299;-6.95834900828902;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.490640738;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0008171699329925373, 6.121050827515773e-5, 0.0010754573226349608, 3.514421064175647e-5], 3 => Any[1.0, 1.0, 0.011898054469207369, 0.0005725819595691015, 0.008567425748448059, 7.293881821178035e-5]);
004_sg.txt;0.5;GaugesEnergy;LatticeTransformation((4, 1, 2, 3), true);-477.0;-495.0;-14.761939493486304;-8.1681330924456;0.0;128;8;16.0;0;256;2;1;2;1.0e-16;7.833297628;0.0013;Dict{Any, Any}(4 => Any[1.0, 1.0, 1.0, 1.0, 1.0, 1.0], 2 => Any[1.0, 1.0, 0.0031809897506133488, 0.0010498320151447582, 0.010803349584682627, 0.002391077791925351], 3 => Any[1.0, 1.0, 0.001138300629378654, 0.0003251010583686148, 0.0012624818021067026, 0.0001779688444762722]);
